adsh	cik	name	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	fye	pdate	effdate	form	filed	accepted	instance	nciks	aciks
0000053808-23-000029	53808	BNY MELLON INVESTMENT FUNDS III	US	NY	NEW YORK	10286	C/O BNY MELLON INVESTMENT ADVISER, INC.	240 GREENWICH STREET	2129226400	US	NY	NEW YORK	10286	C/O BNY MELLON INVESTMENT ADVISER, INC.	240 GREENWICH STREET	US	MA	042694144	DREYFUS/LAUREL FUNDS TRUST	20181030	1231	20230501	20230501	485BPOS	20230427	2023-04-27 13:58:00.0	ck0000053808-20230501_htm.xml	1	
0000061397-23-000066	744822	FIDELITY INVESTMENT TRUST	US	MA	BOSTON	02210	245 SUMMER STREET		617-563-7000	US	MA	BOSTON	02210	245 SUMMER STREET		US	MA	000000000	FIDELITY OVERSEAS FUND	19861228	1231			485BPOS	20230509	2023-05-09 16:33:00.0	filing7169_htm.xml	1	
0000061397-23-000108	61397	FIDELITY MAGELLAN FUND	US	MA	BOSTON	02210	245 SUMMER STREET	MAIL ZONE TS1H	617-563-7000	US	MA	BOSTON	02210	245 SUMMER STREET	MAIL ZONE TS1H	US	MA	000000000	FIDELITY MAGELLAN FUND INC	19920703	0331			485BPOS	20230524	2023-05-24 11:56:00.0	filing6367_htm.xml	1	
0000088053-23-000162	1503123	DBX ETF TRUST	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		212-454-4500	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		US	DE	000000000	DBX ETF TRUST	20101008	1231	20221222	20230410	497	20230410	2023-04-10 16:19:00.0	dbxetf-20230410_htm.xml	1	
0000088053-23-000169	1503123	DBX ETF TRUST	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		212-454-4500	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		US	DE	000000000	DBX ETF TRUST	20101008	1231	20221222	20230418	497	20230418	2023-04-18 16:08:00.0	dbxetf-20230418_htm.xml	1	
0000088053-23-000181	764797	DEUTSCHE DWS VARIABLE SERIES I	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		212-454-4500	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE				000000000	DEUTSCHE VARIABLE SERIES I	20140811	1231	20230501	20230501	485BPOS	20230424	2023-04-24 15:41:00.0	ddvsi-20230424_htm.xml	1	
0000088053-23-000182	1006373	DEUTSCHE DWS INVESTMENTS VIT FUNDS	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		212-454-4500	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		US	MA	000000000	DEUTSCHE INVESTMENTS VIT FUNDS	20140811	1231	20230501	20230501	485BPOS	20230424	2023-04-24 15:42:00.0	ddivf-20230424_htm.xml	1	
0000088053-23-000211	88063	DEUTSCHE DWS PORTFOLIO TRUST	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		212-454-4500	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		US	MA	046013018	DEUTSCHE PORTFOLIO TRUST	20140811	1231	20220501	20230425	497	20230425	2023-04-25 15:30:00.0	ddpt-20230425_htm.xml	1	
0000088053-23-000220	703642	DEUTSCHE DWS MONEY MARKET TRUST	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		212-454-4500	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		US	MA	133120601	DEUTSCHE MONEY MARKET TRUST	20160504	0531	20230501	20230501	485BPOS	20230426	2023-04-26 15:40:00.0	ddmmt-20230426_htm.xml	1	
0000088053-23-000226	862157	DEUTSCHE DWS INSTITUTIONAL FUNDS	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		212-454-4500	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		US	MA	000000000	DEUTSCHE INSTITUTIONAL FUNDS	20140811	1231	20230501	20230501	485BPOS	20230427	2023-04-27 14:29:00.0	ddif-20230427_htm.xml	1	
0000088053-23-000227	88048	DEUTSCHE DWS SECURITIES TRUST	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		212-454-4500	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE				132661231	DEUTSCHE SECURITIES TRUST	20140811	0630	20230501	20230501	485BPOS	20230427	2023-04-27 14:36:00.0	ddst-20230427_htm.xml	1	
0000088053-23-000228	793597	DEUTSCHE DWS GLOBAL/INTERNATIONAL FUND, INC.	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		212-454-4500	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE				000000000	DEUTSCHE GLOBAL/INTERNATIONAL FUND, INC.	20140811	0630	20230501	20230501	485BPOS	20230427	2023-04-27 14:38:00.0	ddgifi-20230427_htm.xml	1	
0000088053-23-000229	926425	DEUTSCHE DWS ASSET ALLOCATION TRUST	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		212-454-4500	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		US	MA	000000000	DEUTSCHE ASSET ALLOCATION TRUST	20151019	1231	20221201	20230427	497	20230427	2023-04-27 15:16:00.0	ddaat-20230427_htm.xml	1	
0000088053-23-000231	810573	DEUTSCHE DWS VARIABLE SERIES II	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		212-454-4500	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE				810105002	DEUTSCHE VARIABLE SERIES II	20140811	1231	20230501	20230501	485BPOS	20230427	2023-04-27 15:47:00.0	ddvsii-20230427_htm.xml	1	
0000088053-23-000301	1503123	DBX ETF TRUST	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		212-454-4500	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		US	DE	000000000	DBX ETF TRUST	20101008	1231	20221001	20230512	497	20230512	2023-05-12 16:21:00.0	dbxetf-20230512_htm.xml	1	
0000088053-23-000338	88063	DEUTSCHE DWS PORTFOLIO TRUST	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		212-454-4500	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		US	MA	046013018	DEUTSCHE PORTFOLIO TRUST	20140811	1231	20230601	20230601	485BPOS	20230525	2023-05-25 16:12:00.0	ddpt-20230525_htm.xml	1	
0000088053-23-000341	747677	DEUTSCHE DWS INCOME TRUST	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		212-454-4500	US	NY	NEW YORK	10022-6225	875 THIRD AVENUE		US	MA	000000000	DEUTSCHE INCOME TRUST	20140811	0430	20230201	20230530	497	20230530	2023-05-30 13:28:00.0	ddit-20230530_htm.xml	3	863209 858372
0000225322-23-000041	225322	FIDELITY SUMMER STREET TRUST	US	MA	BOSTON	02210	245 SUMMER STREET		617-563-7000	US	MA	BOSTON	02210	245 SUMMER STREET		US	MA	000000000	FIDELITY HIGH INCOME FUND	19890309	0430			485BPOS	20230509	2023-05-09 16:34:00.0	filing7168_htm.xml	1	
0000225322-23-000056	225322	FIDELITY SUMMER STREET TRUST	US	MA	BOSTON	02210	245 SUMMER STREET		617-563-7000	US	MA	BOSTON	02210	245 SUMMER STREET		US	MA	000000000	FIDELITY HIGH INCOME FUND	19890309	0430			497	20230530	2023-05-30 16:17:00.0	filing6657_htm.xml	1	
0000225322-23-000144	225322	FIDELITY SUMMER STREET TRUST	US	MA	BOSTON	02210	245 SUMMER STREET		617-563-7000	US	MA	BOSTON	02210	245 SUMMER STREET		US	MA	000000000	FIDELITY HIGH INCOME FUND	19890309	0430			485BPOS	20230627	2023-06-27 17:22:00.0	filing6508_htm.xml	1	
0000318478-23-000002	318478	BNY MELLON APPRECIATION FUND, INC.	US	NY	NEW YORK	10286	C/O BNY MELLON INVESTMENT ADVISER, INC.	200 PARK AVENUE, 8TH FLOOR	2129226400	US	NY	NEW YORK	10286	C/O BNY MELLON INVESTMENT ADVISER, INC.	200 PARK AVENUE, 8TH FLOOR	US	NY	133088846	DREYFUS APPRECIATION FUND, INC.	20181030	1231	20230501	20230501	485BPOS	20230426	2023-04-26 09:07:00.0	ck0000318478-20230424_htm.xml	1	
0000320351-23-000169	320351	FIDELITY SELECT PORTFOLIOS	US	MA	BOSTON	02210	245 SUMMER STREET		617-563-7000	US	MA	BOSTON	02210	245 SUMMER STREET		US	MA	000000000			0228			485BPOS	20230425	2023-04-25 12:36:00.0	filing6204_htm.xml	1	
0000356173-23-000073	356173	FIDELITY COLCHESTER STREET TRUST	US	MA	BOSTON	02210	245 SUMMER STREET		617-563-7000	US	MA	BOSTON	02210	245 SUMMER STREET		US	DE	000000000	COLCHESTER STREET TRUST	19980324	0331			485BPOS	20230524	2023-05-24 12:04:00.0	filing6371_htm.xml	1	
0000718891-23-000023	718891	FIDELITY CALIFORNIA MUNICIPAL TRUST	US	MA	BOSTON	02210	245 SUMMER STREET		617-563-7000	US	MA	BOSTON	02210	245 SUMMER STREET		US	MA	000000000	FIDELITY CALIFORNIA TAX FREE FUND	19900618	0228			485BPOS	20230425	2023-04-25 10:58:00.0	filing6216_htm.xml	1	
0000720318-23-000038	720318	VARIABLE INSURANCE PRODUCTS FUND IV	US	MA	BOSTON	02210	245 SUMMER STREET		617-563-7000	US	MA	BOSTON	02210	245 SUMMER STREET		US	MA	000000000	FIDELITY ADVISOR SERIES VI	19930630	1231			485BPOS	20230420	2023-04-20 11:21:00.0	filing6231_htm.xml	1	
0000732697-23-000009	732697	ULTRA SERIES FUND	US	WI	MADISON	53711	550 SCIENCE DRIVE		6082740300	US	WI	MADISON	53711	550 SCIENCE DRIVE		US	MA	000000000			1231	20230501	20230501	485BPOS	20230425	2023-04-25 14:33:00.0	ck0000732697-20221231_htm.xml	1	
0000737520-23-000025	737520	BNY MELLON STRATEGIC FUNDS, INC.	US	NY	NEW YORK	10166	C/O BNY MELLON INVESTMENT ADVISER, INC.	240 GREENWICH STREET	2129226400	US	NY	NEW YORK	10166	C/O BNY MELLON INVESTMENT ADVISER, INC.	240 GREENWICH STREET	US	NY	133272460	STRATEGIC FUNDS, INC.	20060518	1231	20230501	20230501	485BPOS	20230426	2023-04-26 13:26:00.0	ck0000737520-20230426_htm.xml	1	
0000740123-23-000010	740123	DREYFUS TAX EXEMPT CASH MANAGEMENT FUNDS	US	NY	NEW YORK	10286	C/O BNY MELLON INVESTMENT ADVISER, INC.	240 GREENWICH STREET	2129226400	US	NY	NEW YORK	10286	C/O BNY MELLON INVESTMENT ADVISER, INC.	240 GREENWICH STREET	US	NY	000000000	DREYFUS TAX EXEMPT CASH MANAGEMENT	19920703	0131	20230601	20230601	485BPOS	20230531	2023-05-31 09:34:00.0	ck0000740123-20230525_htm.xml	1	
0000740766-23-000021	740766	DREYFUS GOVERNMENT CASH MANAGEMENT FUNDS	US	NY	NEW YORK	10286	C/O BNY MELLON INVESTMENT ADVISER, INC.	240 GREENWICH STREET	2129226400	US	NY	NEW YORK	10286	C/O BNY MELLON INVESTMENT ADVISER, INC.	240 GREENWICH STREET			000000000	DREYFUS GOVERNMENT CASH MANAGEMENT FUNDS	20040720	0131	20230601	20230601	485BPOS	20230531	2023-05-31 10:16:00.0	ck0000740766-20230525_htm.xml	1	
0000740766-23-000031	740766	DREYFUS GOVERNMENT CASH MANAGEMENT FUNDS	US	NY	NEW YORK	10286	C/O BNY MELLON INVESTMENT ADVISER, INC.	240 GREENWICH STREET	2129226400	US	NY	NEW YORK	10286	C/O BNY MELLON INVESTMENT ADVISER, INC.	240 GREENWICH STREET			000000000	DREYFUS GOVERNMENT CASH MANAGEMENT FUNDS	20040720	0131	20230620	20230620	485APOS	20230612	2023-06-12 10:30:00.0	ck0000740766-20230608_htm.xml	1	
0000741313-23-000097	741313	PRUCO LIFE OF NEW JERSEY VARIABLE APPRECIABLE ACCOUNT	US	NJ	NEWARK	07102	PRUCO LIFE INSURANCE CO OF NEW JERSEY	213 WASHINGTON STREET	973-802-4193	US	NJ	NEWARK	07102	PRUCO LIFE INSURANCE CO OF NEW JERSEY	213 WASHINGTON STREET	US	NJ	222426091			1231			485BPOS	20230406	2023-04-06 13:52:00.0	ck0000741313-20230406_htm.xml	1	
0000741313-23-000099	741313	PRUCO LIFE OF NEW JERSEY VARIABLE APPRECIABLE ACCOUNT	US	NJ	NEWARK	07102	PRUCO LIFE INSURANCE CO OF NEW JERSEY	213 WASHINGTON STREET	973-802-4193	US	NJ	NEWARK	07102	PRUCO LIFE INSURANCE CO OF NEW JERSEY	213 WASHINGTON STREET	US	NJ	222426091			1231			485BPOS	20230406	2023-04-06 13:54:00.0	ck0000741313-20230406_htm.xml	1	
0000741313-23-000101	741313	PRUCO LIFE OF NEW JERSEY VARIABLE APPRECIABLE ACCOUNT	US	NJ	NEWARK	07102	PRUCO LIFE INSURANCE CO OF NEW JERSEY	213 WASHINGTON STREET	973-802-4193	US	NJ	NEWARK	07102	PRUCO LIFE INSURANCE CO OF NEW JERSEY	213 WASHINGTON STREET	US	NJ	222426091			1231			485BPOS	20230406	2023-04-06 13:56:00.0	ck0000741313-20230406_htm.xml	1	
0000741313-23-000188	741313	PRUCO LIFE OF NEW JERSEY VARIABLE APPRECIABLE ACCOUNT	US	NJ	NEWARK	07102	PRUCO LIFE INSURANCE CO OF NEW JERSEY	213 WASHINGTON STREET	973-802-4193	US	NJ	NEWARK	07102	PRUCO LIFE INSURANCE CO OF NEW JERSEY	213 WASHINGTON STREET	US	NJ	222426091			1231			497	20230623	2023-06-23 15:19:00.0	ck0000741313-20230623_htm.xml	1	
0000741313-23-000190	741313	PRUCO LIFE OF NEW JERSEY VARIABLE APPRECIABLE ACCOUNT	US	NJ	NEWARK	07102	PRUCO LIFE INSURANCE CO OF NEW JERSEY	213 WASHINGTON STREET	973-802-4193	US	NJ	NEWARK	07102	PRUCO LIFE INSURANCE CO OF NEW JERSEY	213 WASHINGTON STREET	US	NJ	222426091			1231			497	20230623	2023-06-23 15:21:00.0	ck0000741313-20230623_htm.xml	1	
0000741313-23-000192	741313	PRUCO LIFE OF NEW JERSEY VARIABLE APPRECIABLE ACCOUNT	US	NJ	NEWARK	07102	PRUCO LIFE INSURANCE CO OF NEW JERSEY	213 WASHINGTON STREET	973-802-4193	US	NJ	NEWARK	07102	PRUCO LIFE INSURANCE CO OF NEW JERSEY	213 WASHINGTON STREET	US	NJ	222426091			1231			497	20230623	2023-06-23 15:26:00.0	ck0000741313-20230623_htm.xml	1	
0000744822-23-000031	356494	VARIABLE INSURANCE PRODUCTS FUND	US	MA	BOSTON	02210	245 SUMMER STREET		617-563-7000	US	MA	BOSTON	02210	245 SUMMER STREET		US	MA	000000000	FIDELITY CASH RESERVES II	19850825	1231			485BPOS	20230420	2023-04-20 11:02:00.0	filing6225_htm.xml	1	
0000759667-23-000010	759667	DREYFUS CASH MANAGEMENT	US	NY	NEW YORK	10286	C/O BNY MELLON INVESTMENT ADVISER, INC.	240 GREENWICH STREET	212-922-6400	US	NY	NEW YORK	10286	C/O BNY MELLON INVESTMENT ADVISER, INC.	240 GREENWICH STREET	US	NY	000000000	DREYFUS CASH MANAGEMENT INC/NY	19880425	0131	20230601	20230601	485BPOS	20230531	2023-05-31 11:41:00.0	ck0000759667-20230525_htm.xml	1	
0000768847-23-000015	768847	VANECK FUNDS	US	NY	NEW YORK	10017	666 THIRD AVENUE, 9TH FLOOR		212-293-2000	US	NY	NEW YORK	10017	666 THIRD AVENUE, 9TH FLOOR		US	NY	000000000	VAN ECK FUNDS	19920703	1231	20230501	20230501	485BPOS	20230426	2023-04-26 16:02:00.0	ck0000768847-20221231_htm.xml	1	
0000768847-23-000058	768847	VANECK FUNDS	US	NY	NEW YORK	10017	666 THIRD AVENUE, 9TH FLOOR		212-293-2000	US	NY	NEW YORK	10017	666 THIRD AVENUE, 9TH FLOOR		US	NY	000000000	VAN ECK FUNDS	19920703	1231	20230501	20230616	497	20230616	2023-06-16 08:01:00.0	ck0000768847-20221231_htm.xml	1	
0000783402-23-000020	783402	AMERITAS VARIABLE SEPARATE ACCOUNT V	US	NE	LINCOLN	68510	AMERITAS LIFE INSURANCE CORP.	5900 O STREET	4024671122	US	NE	LINCOLN	68510	5900 O ST P O BOX 81889	C/O AMERITAS LIFE INSURANCE CORP			470098400	AMERITAS VARIABLE LIFE INSURANCE CO SEPARATE ACCOUNT V	19920703	1231			485BPOS	20230426	2023-04-25 18:59:00.0	performanceiivul_485b-43_htm.xml	1	
0000783402-23-000040	783402	AMERITAS VARIABLE SEPARATE ACCOUNT V	US	NE	LINCOLN	68510	AMERITAS LIFE INSURANCE CORP.	5900 O STREET	4024671122	US	NE	LINCOLN	68510	5900 O ST P O BOX 81889	C/O AMERITAS LIFE INSURANCE CORP			470098400	AMERITAS VARIABLE LIFE INSURANCE CO SEPARATE ACCOUNT V	19920703	1231			497	20230523	2023-05-23 13:34:00.0	in2713_htm.xml	1	
0000792394-23-000013	792394	VOLUMETRIC FUND INC	US	NY	PEARL RIVER	10965	87 VIOLET DR		8456237637	US	NY	PEARL RIVER	10965	87 VIOLET DR		US	NY	133373223			1231	20230421	20230421	485BPOS	20230426	2023-04-26 15:23:00.0	volmx-20221231_htm.xml	1	
0000796251-23-000010	796251	DREYFUS TREASURY OBLIGATIONS CASH MANAGEMENT	US	NY	NEW YORK	10166	C/O BNY MELLON INVESTMENT ADVISER, INC.	240 GREENWICH STREET	2129226400	US	NY	NEW YORK	10166	C/O BNY MELLON INVESTMENT ADVISER, INC.	240 GREENWICH STREET	US	NY	000000000	DREYFUS TREASURY & AGENCY CASH MANAGEMENT	20080401	0131	20230601	20230601	485BPOS	20230531	2023-05-31 09:44:00.0	ck0000796251-20230525_htm.xml	1	
0000802205-23-000030	802205	SEPARATE ACCOUNT I OF INTEGRITY LIFE INSURANCE CO	US	OH	CINCINNATI	45202	400 BROADWAY	MS 32	513-629-1114	US	OH	CINCINNATI	45202	400 BROADWAY	MS 32	US	OH	000000000	SEPARATE ACCOUNT INA OF INTEGRITY LIFE INSURANCE CO	19920703	1231			485BPOS	20230427	2023-04-27 12:15:00.0	ck0000802205-20230427_htm.xml	1	
0000802205-23-000034	802205	SEPARATE ACCOUNT I OF INTEGRITY LIFE INSURANCE CO	US	OH	CINCINNATI	45202	400 BROADWAY	MS 32	513-629-1114	US	OH	CINCINNATI	45202	400 BROADWAY	MS 32	US	OH	000000000	SEPARATE ACCOUNT INA OF INTEGRITY LIFE INSURANCE CO	19920703	1231			485BPOS	20230427	2023-04-27 12:36:00.0	ck0000802205-20230427_htm.xml	1	
0000802205-23-000038	802205	SEPARATE ACCOUNT I OF INTEGRITY LIFE INSURANCE CO	US	OH	CINCINNATI	45202	400 BROADWAY	MS 32	513-629-1114	US	OH	CINCINNATI	45202	400 BROADWAY	MS 32	US	OH	000000000	SEPARATE ACCOUNT INA OF INTEGRITY LIFE INSURANCE CO	19920703	1231			485BPOS	20230427	2023-04-27 12:58:00.0	ck0000802205-20230427_htm.xml	1	
0000802222-23-000023	802222	SEPARATE ACCOUNT I OF NATIONAL INTEGRITY LIFE INS CO	US	OH	CINCINNATI	45202	400 BROADWAY	MS 32	513-629-1114	US	OH	CINCINNATI	45202	400 BROADWAY	MS 32	US	NY	000000000	SEPARATE ACCOUNT NIA OF NATIONAL INTEGRITY LIFE INS CO	19920703	1231			485BPOS	20230427	2023-04-27 13:49:00.0	ck0000802222-20230427_htm.xml	1	
0000802222-23-000027	802222	SEPARATE ACCOUNT I OF NATIONAL INTEGRITY LIFE INS CO	US	OH	CINCINNATI	45202	400 BROADWAY	MS 32	513-629-1114	US	OH	CINCINNATI	45202	400 BROADWAY	MS 32	US	NY	000000000	SEPARATE ACCOUNT NIA OF NATIONAL INTEGRITY LIFE INS CO	19920703	1231			485BPOS	20230427	2023-04-27 14:10:00.0	ck0000802222-20230427_htm.xml	1	
0000802222-23-000031	802222	SEPARATE ACCOUNT I OF NATIONAL INTEGRITY LIFE INS CO	US	OH	CINCINNATI	45202	400 BROADWAY	MS 32	513-629-1114	US	OH	CINCINNATI	45202	400 BROADWAY	MS 32	US	NY	000000000	SEPARATE ACCOUNT NIA OF NATIONAL INTEGRITY LIFE INS CO	19920703	1231			485BPOS	20230427	2023-04-27 14:34:00.0	ck0000802222-20230427_htm.xml	1	
0000806180-23-000036	806180	SYMETRA SEPARATE ACCOUNT SL	US	WA	BELLEVUE	98004	777 108TH AVE NE	SUITE 1200	877-796-3872	US	WA	BELLEVUE	98004	777 108TH AVE NE	SUITE 1200	US	WA	910742147	SAFECO SEPARATE ACCOUNT SL	19920703	1231			485BPOS	20230428	2023-04-28 10:37:00.0	syasl-20230428_htm.xml	1	
0000806180-23-000043	806180	SYMETRA SEPARATE ACCOUNT SL	US	WA	BELLEVUE	98004	777 108TH AVE NE	SUITE 1200	877-796-3872	US	WA	BELLEVUE	98004	777 108TH AVE NE	SUITE 1200	US	WA	910742147	SAFECO SEPARATE ACCOUNT SL	19920703	1231			485BPOS	20230428	2023-04-28 10:50:00.0	syasl-20230428_htm.xml	1	
0000811976-23-000021	811976	VANECK VIP TRUST	US	NY	NEW YORK	10017	666 THIRD AVENUE, 9TH FLOOR		212-293-2000	US	NY	NEW YORK	10017	666 THIRD AVENUE, 9TH FLOOR		US	NY	000000000	VAN ECK VIP TRUST	20100503	1231	20230501	20230501	485BPOS	20230426	2023-04-26 13:52:00.0	ck0000811976-20221231_htm.xml	1	
