adsh	grp	arc	negative	ptag	pversion	ctag	cversion
0000225322-23-000041	1	4	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000225322-23-000041	1	5	1	NetExpensesOverAssets	rr/2022	FeeWaiverOrReimbursementOverAssets	rr/2022
0000225322-23-000144	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000225322-23-000144	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000225322-23-000144	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
0000225322-23-000144	1	4	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000225322-23-000144	1	5	1	ExpensesOverAssets	rr/2022	AcquiredFundFeesAndExpensesOverAssets	rr/2022
0000225322-23-000144	1	6	1	NetExpensesOverAssets	rr/2022	FeeWaiverOrReimbursementOverAssets	rr/2022
0000318478-23-000002	1	1	1	NetExpensesOverAssets	rr/2023	ExpensesOverAssets	rr/2023
0000318478-23-000002	1	2	1	ExpensesOverAssets	rr/2023	ManagementFeesOverAssets	rr/2023
0000318478-23-000002	1	3	1	ExpensesOverAssets	rr/2023	OtherExpensesOverAssets	rr/2023
0000318478-23-000002	1	4	1	OtherExpensesOverAssets	rr/2023	Component1OtherExpensesOverAssets	rr/2023
0000318478-23-000002	1	5	1	OtherExpensesOverAssets	rr/2023	Component2OtherExpensesOverAssets	rr/2023
0000320351-23-000169	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000320351-23-000169	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000320351-23-000169	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
0000320351-23-000169	1	4	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000356173-23-000073	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000356173-23-000073	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000356173-23-000073	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
0000356173-23-000073	1	4	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000356173-23-000073	1	5	1	NetExpensesOverAssets	rr/2022	FeeWaiverOrReimbursementOverAssets	rr/2022
0000718891-23-000023	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000718891-23-000023	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000718891-23-000023	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
0000718891-23-000023	1	4	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000720318-23-000038	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000720318-23-000038	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000720318-23-000038	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
0000720318-23-000038	1	4	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000732697-23-000009	1	1	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000732697-23-000009	1	2	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
0000732697-23-000009	1	3	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000732697-23-000009	1	4	1	ExpensesOverAssets	rr/2022	AcquiredFundFeesAndExpensesOverAssets	rr/2022
0000737520-23-000025	1	1	1	NetExpensesOverAssets	rr/2023	ExpensesOverAssets	rr/2023
0000737520-23-000025	1	2	1	ExpensesOverAssets	rr/2023	ManagementFeesOverAssets	rr/2023
0000737520-23-000025	1	3	1	ExpensesOverAssets	rr/2023	DistributionAndService12b1FeesOverAssets	rr/2023
0000737520-23-000025	1	4	1	ExpensesOverAssets	rr/2023	OtherExpensesOverAssets	rr/2023
0000737520-23-000025	1	5	1	OtherExpensesOverAssets	rr/2023	Component1OtherExpensesOverAssets	rr/2023
0000737520-23-000025	1	6	1	OtherExpensesOverAssets	rr/2023	Component2OtherExpensesOverAssets	rr/2023
0000737520-23-000025	1	7	1	NetExpensesOverAssets	rr/2023	FeeWaiverOrReimbursementOverAssets	rr/2023
0000740123-23-000010	1	1	1	NetExpensesOverAssets	rr/2023	ExpensesOverAssets	rr/2023
0000740123-23-000010	1	2	1	ExpensesOverAssets	rr/2023	ManagementFeesOverAssets	rr/2023
0000740123-23-000010	1	3	1	ExpensesOverAssets	rr/2023	OtherExpensesOverAssets	rr/2023
0000740123-23-000010	1	4	1	OtherExpensesOverAssets	rr/2023	Component1OtherExpensesOverAssets	rr/2023
0000740123-23-000010	1	5	1	OtherExpensesOverAssets	rr/2023	Component2OtherExpensesOverAssets	rr/2023
0000740123-23-000010	1	6	1	NetExpensesOverAssets	rr/2023	FeeWaiverOrReimbursementOverAssets	rr/2023
0000740766-23-000021	1	1	1	NetExpensesOverAssets	rr/2023	ExpensesOverAssets	rr/2023
0000740766-23-000021	1	2	1	ExpensesOverAssets	rr/2023	ManagementFeesOverAssets	rr/2023
0000740766-23-000021	1	3	1	ExpensesOverAssets	rr/2023	DistributionAndService12b1FeesOverAssets	rr/2023
0000740766-23-000021	1	4	1	ExpensesOverAssets	rr/2023	OtherExpensesOverAssets	rr/2023
0000740766-23-000021	1	5	1	OtherExpensesOverAssets	rr/2023	Component1OtherExpensesOverAssets	rr/2023
0000740766-23-000021	1	6	1	OtherExpensesOverAssets	rr/2023	Component2OtherExpensesOverAssets	rr/2023
0000740766-23-000021	1	7	1	OtherExpensesOverAssets	rr/2023	Component3OtherExpensesOverAssets	rr/2023
0000740766-23-000021	1	8	1	NetExpensesOverAssets	rr/2023	FeeWaiverOrReimbursementOverAssets	rr/2023
0000740766-23-000031	1	1	1	NetExpensesOverAssets	rr/2023	ExpensesOverAssets	rr/2023
0000740766-23-000031	1	2	1	ExpensesOverAssets	rr/2023	ManagementFeesOverAssets	rr/2023
0000740766-23-000031	1	3	1	ExpensesOverAssets	rr/2023	OtherExpensesOverAssets	rr/2023
0000740766-23-000031	1	4	1	NetExpensesOverAssets	rr/2023	FeeWaiverOrReimbursementOverAssets	rr/2023
0000744822-23-000031	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000744822-23-000031	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000744822-23-000031	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
0000744822-23-000031	1	4	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000759667-23-000010	1	1	1	NetExpensesOverAssets	rr/2023	ExpensesOverAssets	rr/2023
0000759667-23-000010	1	2	1	ExpensesOverAssets	rr/2023	ManagementFeesOverAssets	rr/2023
0000759667-23-000010	1	3	1	ExpensesOverAssets	rr/2023	OtherExpensesOverAssets	rr/2023
0000759667-23-000010	1	4	1	OtherExpensesOverAssets	rr/2023	Component1OtherExpensesOverAssets	rr/2023
0000759667-23-000010	1	5	1	OtherExpensesOverAssets	rr/2023	Component2OtherExpensesOverAssets	rr/2023
0000759667-23-000010	1	6	1	OtherExpensesOverAssets	rr/2023	Component3OtherExpensesOverAssets	rr/2023
0000759667-23-000010	1	7	1	NetExpensesOverAssets	rr/2023	FeeWaiverOrReimbursementOverAssets	rr/2023
0000768847-23-000015	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000768847-23-000015	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000768847-23-000015	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
0000768847-23-000015	1	4	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000768847-23-000015	1	5	1	NetExpensesOverAssets	rr/2022	FeeWaiverOrReimbursementOverAssets	rr/2022
0000768847-23-000058	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000768847-23-000058	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000768847-23-000058	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
0000768847-23-000058	1	4	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000768847-23-000058	1	5	1	NetExpensesOverAssets	rr/2022	FeeWaiverOrReimbursementOverAssets	rr/2022
0000796251-23-000010	1	1	1	NetExpensesOverAssets	rr/2023	ExpensesOverAssets	rr/2023
0000796251-23-000010	1	2	1	ExpensesOverAssets	rr/2023	ManagementFeesOverAssets	rr/2023
0000796251-23-000010	1	3	1	ExpensesOverAssets	rr/2023	DistributionAndService12b1FeesOverAssets	rr/2023
0000796251-23-000010	1	4	1	ExpensesOverAssets	rr/2023	OtherExpensesOverAssets	rr/2023
0000796251-23-000010	1	5	1	OtherExpensesOverAssets	rr/2023	Component1OtherExpensesOverAssets	rr/2023
0000796251-23-000010	1	6	1	OtherExpensesOverAssets	rr/2023	Component2OtherExpensesOverAssets	rr/2023
0000796251-23-000010	1	7	1	OtherExpensesOverAssets	rr/2023	Component3OtherExpensesOverAssets	rr/2023
0000796251-23-000010	1	8	1	NetExpensesOverAssets	rr/2023	FeeWaiverOrReimbursementOverAssets	rr/2023
0000811976-23-000021	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000811976-23-000021	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000811976-23-000021	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
0000811976-23-000021	1	4	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000811976-23-000021	1	5	1	NetExpensesOverAssets	rr/2022	FeeWaiverOrReimbursementOverAssets	rr/2022
0000813383-23-000012	1	1	1	NetExpensesOverAssets	rr/2023	ExpensesOverAssets	rr/2023
0000813383-23-000012	1	2	1	ExpensesOverAssets	rr/2023	ManagementFeesOverAssets	rr/2023
0000813383-23-000012	1	3	1	ExpensesOverAssets	rr/2023	DistributionAndService12b1FeesOverAssets	rr/2023
0000813383-23-000012	1	4	1	ExpensesOverAssets	rr/2023	OtherExpensesOverAssets	rr/2023
0000813383-23-000012	1	5	1	NetExpensesOverAssets	rr/2023	FeeWaiverOrReimbursementOverAssets	rr/2023
0000814680-23-000043	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000814680-23-000043	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000814680-23-000043	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
0000814680-23-000043	1	4	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000814680-23-000043	1	5	1	ExpensesOverAssets	rr/2022	AcquiredFundFeesAndExpensesOverAssets	rr/2022
0000814680-23-000043	1	6	1	NetExpensesOverAssets	rr/2022	FeeWaiverOrReimbursementOverAssets	rr/2022
0000819118-23-000044	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000819118-23-000044	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000819118-23-000044	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
0000819118-23-000044	1	4	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000819118-23-000059	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000819118-23-000059	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000819118-23-000059	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
0000819118-23-000059	1	4	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000819118-23-000128	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000819118-23-000128	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000819118-23-000128	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
0000819118-23-000128	1	4	1	ExpensesOverAssets	rr/2022	OtherExpensesOverAssets	rr/2022
0000819118-23-000128	1	5	1	NetExpensesOverAssets	rr/2022	FeeWaiverOrReimbursementOverAssets	rr/2022
0000819940-23-000021	1	1	1	NetExpensesOverAssets	rr/2023	ExpensesOverAssets	rr/2023
0000819940-23-000021	1	2	1	ExpensesOverAssets	rr/2023	ManagementFeesOverAssets	rr/2023
0000819940-23-000021	1	3	1	ExpensesOverAssets	rr/2023	DistributionAndService12b1FeesOverAssets	rr/2023
0000819940-23-000021	1	4	1	ExpensesOverAssets	rr/2023	OtherExpensesOverAssets	rr/2023
0000819940-23-000021	1	5	1	OtherExpensesOverAssets	rr/2023	Component1OtherExpensesOverAssets	rr/2023
0000819940-23-000021	1	6	1	OtherExpensesOverAssets	rr/2023	Component2OtherExpensesOverAssets	rr/2023
0000819940-23-000021	1	7	1	OtherExpensesOverAssets	rr/2023	Component3OtherExpensesOverAssets	rr/2023
0000823535-23-000053	1	1	1	NetExpensesOverAssets	rr/2022	ExpensesOverAssets	rr/2022
0000823535-23-000053	1	2	1	ExpensesOverAssets	rr/2022	ManagementFeesOverAssets	rr/2022
0000823535-23-000053	1	3	1	ExpensesOverAssets	rr/2022	DistributionAndService12b1FeesOverAssets	rr/2022
