tag	version	custom	abstract	datatype	iord	tlabel	doc
AnnualReturnBarChartN3TableTextBlock	vip/2023	0	0	textBlock	D	Annual Return Bar Chart (N-3) [Table Text Block]	
InvestmentOptionSubadviserN3TextBlock	vip/2022q2	0	0	textBlock	D	Investment Option Subadviser [Text Block]	
AverageAnnualTotalReturns5YearsPercent	vip/2022q2	0	0	percent	D	Average Annual Total Returns, 5 Years [Percent]	
ThirtyDayYield	rr/2023	0	0	pure	D	Thirty Day Yield	A Fund (other than a Money Market Fund) may include the Fund's yield calculated under Item 21(b)(2). Any Fund may include its tax-equivalent yield calculated under Item 21. If a Fund's yield is included, provide a toll-free (or collect) telephone number that investors can use to obtain current yield information.
TransactionFeeOnReinvestedDividends	0001683863-23-004048	1	0	NonNegativeMonetaryT	D	Transaction Fee on Reinvested Dividends	Transaction Fee on Reinvested Dividends
SupplementClosing	0000894189-23-002467	1	0	textBlock	D	Supplement Closing	Supplement Closing
InvestmentOptionAdviserN3TextBlock	vip/2022q2	0	0	textBlock	D	Investment Option Adviser [Text Block]	
AnnuitizedExpense1YearMaximumDollars	vip/2022q2	0	0	nonNegativeMonetary	D	Annuitized Expense, 1 Year, Maximum [Dollars]	
BarChartHeading	rr/2022	0	0	string	D	Bar Chart [Heading]	Risk/Return Bar Chart and Table.
OtherSurrenderFeesDescriptionTextBlock	vip/2022q2	0	0	textBlock	D	Other Surrender Fees, Description [Text Block]	
PerformanceOfInvestmentOptionN3TextBlock	vip/2023	0	0	textBlock	D	Performance of Investment Option (N-3) [Text Block]	
SupplementClosingTextBlockTextBlock	0001213900-23-051719	1	0	textBlock	D	Supplement Closing [Text Block]	
BarChartClosingTextBlock	rr/2023	0	0	textBlock	D	Bar Chart Closing [Text Block]	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart.
AnnualReturnInceptionDate	rr/2022	0	0	date	D	Annual Return, Inception Date	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. Provide annual total returns beginning with the earliest calendar year. Calculate annual returns using the Instructions to Item 8(a), except that the calculations should be based on calendar years. If a Fund's shares are sold subject to a sales load or account fees, state that sales loads or account fees are not reflected in the bar chart and that, if these amounts were reflected, returns would be less than those shown. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets). When a Multiple Class Fund offering one or more Classes offers a new Class in a prospectus that does not offer the shares of any other Class, include the bar chart with annual total returns for any other existing Class for the first year that the Class is offered. Explain in a footnote that the returns are for a Class that is not offered in the prospectus that would have substantially similar annual returns because the shares are invested in the same portfolio of securities and the annual returns would differ only to the extent that the Classes do not have the same expenses. Include return information for the other Class reflected in the bar chart in the performance table
AverageAnnualReturnInceptionDate	rr/2021	0	0	date	D	Inception Date	Return Before Taxes.
BarChartDoesNotReflectSalesLoads	rr/2021	0	0	string	D	Bar Chart Does Not Reflect Sales Loads [Text]	Include the bar chart and table required by Item 4 (b)(2)(ii) and (iii) of this section. Provide a brief explanation of how the information illustrates the variability of the Fund's returns (e.g., by stating that the information provides some indication of the risks of investing in the Fund by showing changes in the Fund's performance from year to year and by showing how the Fund's average annual returns for 1, 5, and 10 years compare with those of a broad measure of market performance). Provide a statement to the effect that the Fund's past performance (before and after taxes) is not necessarily an indication of how the Fund will perform in the future. Provide annual total returns beginning with the earliest calendar year. Calculate annual returns using the Instructions to Item 8(a), except that the calculations should be based on calendar years. If a Fund's shares are sold subject to a sales load or account fees, state that sales loads or account fees are not reflected in the bar chart and that, if these amounts were reflected, returns would be less than those shown.
OtherSurrenderFeesWhenDeductedTextBlock	vip/2022q2	0	0	textBlock	D	Other Surrender Fees, When Deducted [Text Block]	
StandardDeathBenefitTextBlock	vip/2023	0	0	textBlock	D	Standard Death Benefit [Text Block]	
WireFee	0001213900-23-032456	1	0	NonNegativeMonetaryT	D	Wire fee	
Component3OtherExpensesOverAssets	rr/2023	0	0	NonNegativePure4Type	D	Component3 Other Expenses	"The Fund may subdivide this caption into no more than three subcaptions that identify the largest expense or expenses comprising ""Other Expenses,"" but must include a total of all ""Other Expenses."" Alternatively, the Fund may include the components of ""Other Expenses"" in a parenthetical to the caption."
SurrenderExpense5YearsMaximumDollars	vip/2023	0	0	nonNegativeMonetary	D	Surrender Expense, 5 Years, Maximum [Dollars]	
OtherTransactionFeeOfOtherAmountMaximumPercent	vip/2023	0	0	percent	D	Other Transaction Fee (of Other Amount), Maximum [Percent]	
ManagementFeesOfAverageAccountValueMinimumPercent	vip/2022q2	0	0	percent	D	Management Fees (of Average Account Value), Minimum [Percent]	
EntityInvCompanyType	dei/2021	0	0	invCompanyType	D	Entity Inv Company Type	One of: N-1A (Mutual Fund), N-1 (Open-End Separate Account with No Variable Annuities), N-2 (Closed-End Investment Company), N-3 (Separate Account Registered as Open-End Management Investment Company), N-4 (Variable Annuity UIT Separate Account), N-5 (Small Business Investment Company), N-6 (Variable Life UIT Separate Account), S-1 or S-3 (Face Amount Certificate Company), S-6 (UIT, Non-Insurance Product).
SupplementClosing	0000894189-23-002567	1	0	textBlock	D	Supplement Closing	Supplement Closing
ExpensesRepresentBothMasterAndFeeder	rr/2022	0	0	string	D	Expenses Represent Both Master and Feeder [Text]	If the Fund is a Feeder Fund, reflect the aggregate expenses of the Feeder Fund and the Master Fund in a single fee table using the captions provided. In a footnote to the fee table, state that the table and Example reflect the expenses of both the Feeder and Master Funds.
OfferedEndingDate	vip/2023	0	0	date	D	Offered Ending [Date]	
SupplementClosingTextBlock	0000768847-23-000058	1	0	textBlock	D	Supplement Closing [Text Block]	Supplement Closing [Text Block]
SupplementClosingTextBlock	0000894189-23-002424	1	0	textBlock	D	Supplement Closing [Text Block]	Supplement Closing [Text Block]
TradingSymbol	dei/2021	0	0	tradingSymbol	D	Trading Symbol	Trading symbol of an instrument as listed on an exchange.
AnnualReturn2020	rr/2022	0	0	pure	D	Annual Return 2020	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
MaximumCumulativeSalesChargeOverOfferingPrice	rr/2022	0	0	NonNegativePure4Type	D	Maximum Cumulative Sales Charge (as a percentage of Offering Price)	Maximum Sales Charge (Load) Imposed on Purchases (as a percentage of offering price). If a sales charge (load) is imposed on shares purchased with reinvested capital gains distributions or returns of capital, include the bracketed words in the third caption.
RedemptionFeeOverRedemption	rr/2022	0	0	NonPositivePure4Type	D	Redemption Fee (as a percentage of Amount Redeemed)	"Redemption Fee"" (as a percentage of amount redeemed, if applicable) If the Fund is an Exchange-Traded Fund and issues or redeems shares in creation units of not less than 25,000 shares each, exclude any fees charged for the purchase and redemption of the Fund's creation units. ""Redemption Fee"" includes a fee charged for any redemption of the Fund's shares, but does not include a deferred sales charge (load) imposed upon redemption."
InvestmentOptionsOfAverageAnnualNetAssetsMinimumPercent	vip/2022q2	0	0	percent	D	Investment Options (of Average Annual Net Assets) Minimum [Percent]	
OtherAnnualExpenseMinimumDollars	vip/2022q2	0	0	nonNegativeMonetary	D	Other Annual Expense, Minimum [Dollars]	
PortfolioTurnoverRate	rr/2022	0	0	pure	D	Portfolio Turnover, Rate	This element represents the rate of portfolio turnover presented as a percentage (SEC Form N-1A 2006-09-14 A.3.example.3 Portfolio Turnover A.3.instructions.5 Portfolio Turnover).
MaximumSalesChargeOnReinvestedDividendsAndDistributionsOverOther	rr/2023	0	0	NonNegativePure4Type	D	Maximum Sales Charge on Reinvested Dividends and Distributions (as a percentage)	Maximum Sales Charge (Load) Imposed on Reinvested Dividends[and other Distributions] (as a percentage of ____)
AnnualReturn2009	rr/2023	0	0	pure	D	Annual Return 2009	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
TransactionFeeOnReinvestedDividends	0001683863-23-004833	1	0	NonNegativeMonetaryT	D	Transaction Fee on Reinvested Dividends	Transaction Fee on Reinvested Dividends
ExpenseFootnotesTextBlock	rr/2021	0	0	textBlock	D	Expense Footnotes [Text Block]	Shareholder Fees.
TransactionChargesTextBlock	vip/2023	0	0	textBlock	D	Transaction Charges [Text Block]	
OtherTransactionFeeMaximumDollars	vip/2023	0	0	nonNegativeMonetary	D	Other Transaction Fee, Maximum [Dollars]	
ExchangeFeeMaximumDollars	vip/2023	0	0	nonNegativeMonetary	D	Exchange Fee, Maximum [Dollars]	
RiskHeading	rr/2022	0	0	string	D	Risk [Heading]	Narrative Risk Disclosure.
OtherExpensesNewFundBasedOnEstimates	rr/2022	0	0	string	D	Other Expenses, New Fund, Based on Estimates [Text]	"This element represents the disclosure for new funds that ""Other Expenses"" are based on estimated amounts for the current fiscal year."
BenefitsAvailableN4TextBlock	vip/2023	0	0	textBlock	D	Item 10. Benefits Available (N-4) [Text Block]	
ExpenseRiskFeesWhenDeductedTextBlock	vip/2023	0	0	textBlock	D	Expense Risk Fees, When Deducted [Text Block]	
ContractExpenseOfAverageAnnualNetAssetsN3MinimumPercent	vip/2023	0	0	percent	D	Contract Expense (of Average Annual Net Assets) (N-3) Minimum [Percent]	
ExchangeFee	rr/2023	0	0	NonNegativeMonetaryT	D	Exchange Fee	Exchange Fee includes the maximum fee charged for any exchange or transfer of interest from the Fund to another fund. The Fund may include in a footnote to the table, if applicable, a tabular presentation of the range of exchange fees or a narrative explanation of the fees.
OtherAnnualExpense1OfOtherAmountCurrentPercent	vip/2022q2	0	0	percent	D	Other Annual Expense 1 (of Other Amount), Current [Percent]	
PremiumTaxesDescriptionTextBlock	vip/2023	0	0	textBlock	D	Premium Taxes, Description [Text Block]	
OtherSurrenderFeesOfOtherAmountCurrentPercent	vip/2023	0	0	percent	D	Other Surrender Fees (of Other Amount), Current [Percent]	
PrincipalRiskTextBlock	vip/2022q2	0	0	textBlock	D	Principal Risk [Text Block]	
BenefitStandardOrOptionalTextBlock	vip/2022q2	0	0	textBlock	D	Benefit Standard or Optional [Text Block]	
ProspectusesAvailableTextBlock	vip/2022q2	0	0	textBlock	D	Prospectuses Available [Text Block]	
RisksTableTextBlock	vip/2023	0	0	textBlock	D	Risks [Table Text Block]	
AnnualMaintenanceFeeWhenDeductedTextBlock	vip/2023	0	0	textBlock	D	Annual Maintenance Fee, When Deducted [Text Block]	
BenefitsDescriptionTableTextBlock	vip/2023	0	0	textBlock	D	Benefits Description [Table Text Block]	
RiskClosingTextBlock	rr/2022	0	0	textBlock	D	Risk Closing [Text Block]	(ii) (A) If the Fund is a Money Market Fund that is not a government Money Market Fund, as defined in 270.2a 7(a)(16) or a retail Money Market Fund, as defined in  270.2a7(a)(25), include the following statement: You could lose money by investing in the Fund. Because the share price of the Fund will fluctuate, when you sell your shares they may be worth more or less than what you originally paid for them. The Fund may impose a fee upon sale of your shares or may temporarily suspend your ability to sell shares if the Fund's liquidity falls below required minimums because of market conditions or other factors. An investment in the Fund is not insured or guaranteed by the Federal Deposit Insurance Corporation or any other government agency. The Fund's sponsor has no legal obligation to provide financial support to the Fund, and you should not expect that the sponsor will provide financial support to the Fund at any time. (B) If the Fund is a Money Market Fund that is a government Money Market Fund, as defined in  270.2a7(a)(16), or a retail Money Market Fund, as defined in  270.2a7(a)(25), and that is subject to the requirements of  270.2a7(c)(2)(i) and/or (ii) of this chapter (or is not subject to the requirements of  270.2a7(c)(2)(i) and/or (ii) of this chapter pursuant to  270.2a7(c)(2)(iii) of this chapter, but has chosen to rely on the ability to impose liquidity fees and suspend redemptions consistent with the requirements of  270.2a7(c)(2)(i) and/or (ii)), include the following statement: You could lose money by investing in the Fund. Although the Fund seeks to preserve the value of your investment at $1.00 per share, it cannot guarantee it will do so. The Fund may impose a fee upon sale of your shares or may temporarily suspend your ability to sell shares if the Fund's liquidity falls below required minimums because of market conditions or other factors. An investment in the Fund is not insured or guaranteed by the Federal Deposit Insurance Corporation or any other government agency. The F
SurrenderExpense1YearMaximumDollars	vip/2022q2	0	0	nonNegativeMonetary	D	Surrender Expense, 1 Year, Maximum [Dollars]	
AverageAnnualReturnSinceInception	rr/2023	0	0	pure	D	Since Inception	Return Before Taxes.
KeyExchangesTextBlock	vip/2022q2	0	0	textBlock	D	Exchanges [Text Block]	
RiskNarrativeTextBlock	rr/2022	0	0	textBlock	D	Risk Narrative [Text Block]	Narrative Risk Disclosure. A Fund may, in responding to this Item, describe the types of investors for whom the Fund is intended or the types of investment goals that may be consistent with an investment in the Fund.
TransferFeesWhenDeductedTextBlock	vip/2022q2	0	0	textBlock	D	Transfer Fees, When Deducted [Text Block]	
OtherTransactionFeeCurrentDollars	vip/2023	0	0	nonNegativeMonetary	D	Other Transaction Fee, Current [Dollars]	
BenefitsAvailableTableTextBlock	vip/2023	0	0	textBlock	D	Benefits Available [Table Text Block]	
RiskFootnotesTextBlock	rr/2023	0	0	textBlock	D	Risk Footnotes [Text Block]	Narrative Risk Disclosure.
BarChartYearToDateReturn	rr/2021	0	0	pure	D	Bar Chart, Year to Date Return	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart.
LowestQuarterlyReturnPercent	vip/2023	0	0	percent	D	Lowest Quarterly Return [Percent]	
DeferredIncomeTaxExpense	0001580642-23-003365	1	0	NonNegativePure4Type	D	Deferred Income Tax Expense	
OptionalBenefitsFootnotesTextBlock	vip/2023	0	0	textBlock	D	Optional Benefits Footnotes [Text Block]	
AnnualReturn2021	rr/2021	0	0	pure	D	Annual Return 2021	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
SalesLoadOfPremiumPaymentsMaximumPercent	vip/2022q2	0	0	percent	D	Sales Load (of Premium Payments), Maximum [Percent]	
BaseContractExpenseOfOtherAmountMinimumPercent	vip/2022q2	0	0	percent	D	Base Contract Expense (of Other Amount), Minimum [Percent]	
PortfolioCompanyObjectiveTextBlock	vip/2022q2	0	0	textBlock	D	Portfolio Company Objective [Text Block]	
StandardBenefitExpenseOfOtherAmountMaximumPercent	vip/2022q2	0	0	percent	D	Standard Benefit Expense (of Other Amount), Maximum [Percent]	
ExpenseBreakpointMinimumInvestmentRequiredAmount	rr/2023	0	0	monetary	D	Expense Breakpoint, Minimum Investment Required [Amount]	This element represents the minimum level of investment required to qualify for discounted sales charges or fund expenses (SEC Form N-1A 2006-09-14 A.3.instructions.1.b).
DistributionAndService12b1FeesOverAssets	rr/2021	0	0	NonNegativePure4Type	D	Distribution and Service (12b-1) Fees	"Distribution [and/or Service] (12b-1) Fees"" include all distribution or other expenses incurred during the most recent fiscal year under a plan adopted pursuant to rule 12b-1 [17 CFR 270.12b-1]. Under an appropriate caption or a subcaption of ""Other Expenses,"" disclose the amount of any distribution or similar expenses deducted from the Fund's assets other than pursuant to a rule 12b-1 plan."
NoSurrenderExpense10YearsMinimumDollars	vip/2022q2	0	0	nonNegativeMonetary	D	No Surrender Expense, 10 Years, Minimum [Dollars]	
DeferredSalesLoadFootnotesTextBlock	vip/2022q2	0	0	textBlock	D	Deferred Sales Load, Footnotes [Text Block]	
SupplementClosingTextBlock	0001213900-23-041936	1	0	textBlock	D	Supplement Closing [Text Block]	Supplement closing text block.
IndexNoDeductionForFeesExpensesTaxesTwo	0001683863-23-003680	1	0	string	D	Index No Deduction For Fees Expenses Taxes Two [Text]	Index No Deduction For Fees Expenses Taxes Two [Text]
AcquiredFundFeesAndExpensesOverAssets	rr/2022	0	0	NonNegativePure4Type	D	Acquired Fund Fees and Expenses	Total Annual Fund Operating Expenses.
PerformanceTableNotRelevantToTaxDeferred	rr/2021	0	0	string	D	Performance Table Not Relevant to Tax Deferred	Provide a brief explanation that the actual after-tax returns depend on an investor's tax situation and may differ from those shown, and after-tax returns shown are not relevant to investors who hold their Fund shares through tax-deferred arrangements, such as 401(k) plans or individual retirement accounts.
RiskMoneyMarketFundPriceFluctuates	rr/2021	0	0	string	D	Risk Money Market Fund Price Fluctuates [Text]	"Include the statement ""Because the share price of the Fund will fluctuate, when you sell your shares they may be worth more or less than what you originally paid for them."
PortfolioCompanyAvailableWithBenefitFlag	vip/2022q2	0	0	boolean	D	Portfolio Company Available with Benefit [Flag]	
PremiumTaxesOfPremiumPaymentsMaximumPercent	vip/2022q2	0	0	percent	D	Premium Taxes (of Premium Payments), Maximum [Percent]	
ExchangeFeeOfOtherAmountCurrentPercent	vip/2022q2	0	0	percent	D	Exchange Fee (of Other Amount), Current [Percent]	
ExchangeFeeOfAmountExchangedCurrentPercent	vip/2022q2	0	0	percent	D	Exchange Fee (of Amount Exchanged), Current [Percent]	
BriefRestrictionsLimitationsTextBlock	vip/2022q2	0	0	textBlock	D	Brief Restrictions / Limitations [Text Block]	
ChargesForEarlyWithdrawalsTextBlock	vip/2023	0	0	textBlock	D	Charges for Early Withdrawals [Text Block]	
DeferredSalesLoadOfAmountSurrenderedCurrentPercent	vip/2022q2	0	0	percent	D	Deferred Sales Load (of Amount Surrendered), Current [Percent]	
AnnualReturn2018	rr/2021	0	0	pure	D	Annual Return 2018	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
StandardBenefitExpenseOfBenefitBaseMaximumPercent	vip/2022q2	0	0	percent	D	Standard Benefit Expense (of Benefit Base), Maximum [Percent]	
AnnualMaintenanceFeeOfPolicyValueMaximumPercent	vip/2022q2	0	0	percent	D	Annual Maintenance Fee (of Policy Value), Maximum [Percent]	
ExpenseExampleYear01	rr/2021	0	0	NonNegativeMonetaryT	D	Expense Example, with Redemption, 1 Year	The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then you redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return per year and that the Fund's operating expenses remained the same. Although your actual costs may be higher or lower.
OptionalBenefitExpenseMaximumDollars	vip/2023	0	0	nonNegativeMonetary	D	Optional Benefit Expense, Maximum [Dollars]	
MaximumCumulativeSalesChargeOverOther	rr/2023	0	0	NonNegativePure4Type	D	Maximum Cumulative Sales Charge (as a percentage)	Maximum Sales Charge (Load) Imposed on Purchases (as a percentage of offering price). If a sales charge (load) is imposed on shares purchased with reinvested capital gains distributions or returns of capital, include the bracketed words in the third caption.
PerformanceTableNarrativeTextBlock	rr/2023	0	0	textBlock	D	Performance Table Narrative	If the Fund has annual returns for at least one calendar year, provide a table showing the Fund's (A) average annual total return; (B) average annual total return (after taxes on distributions); and (C) average annual total return (after taxes on distributions and redemption). A Money Market Fund should show only the returns described in clause (A) of the preceding sentence. All returns should be shown for 1-, 5-, and 10- calendar year periods ending on the date of the most recently completed calendar year (or for the life of the Fund, if shorter), but only for periods subsequent to the effective date of the Fund's registration statement. The table also should show the returns of an appropriate broad-based securities market index as defined in Instruction 5 to Item 22(b)(7) for the same periods. A Fund that has been in existence for more than 10 years also may include returns for the life of the Fund. A Money Market Fund may provide the Fund's 7-day yield ending on the date of the most recent calendar year or disclose a toll-free (or collect) telephone number that investors can use to obtain the Fund's current 7-day yield. For a Fund (other than a Money Market Fund or a Fund described in General Instruction C.3.(d)(iii)), provide the information in the following table with the specified captions AVERAGE ANNUAL TOTAL RETURNS (For the periods ended December 31, _____). For a Fund that provides annual total returns for only one calendar year or for a Fund that does not include the bar chart because it does not have annual returns for a full calendar year, modify, as appropriate, the narrative explanation required by paragraph (c)(2)(i) (e.g., by stating that the information gives some indication of the risks of an investment in the Fund by comparing the Fund's performance with a broad measure of market performance).
RiskMoneyMarketFundPriceFluctuatesTextBlock	vip/2023	0	0	textBlock	D	Risk Money Market Fund Price Fluctuates [Text Block]	
FeeWaiverOrReimbursementOverAssetsLaterOfTerminationOrNextEffectiveProspectus	0001623632-23-000681	1	0	string	D	Fee Waiver Or Reimbursement Over Assets, Later Of Termination Or Next Effective Prospectus	Fee Waiver Or Reimbursement Over Assets, Later Of Termination Or Next Effective Prospectus
MaximumDeferredSalesChargeOverOther	rr/2021	0	0	NonNegativePure4Type	D	Maximum Deferred Sales Charge (as a percentage)	"Maximum Deferred Sales Charge (Load) (as a percentage of ____) ""Maximum Deferred Sales Charge (Load)"" includes the maximum total deferred sales charge (load) payable upon redemption, in installments, or both, expressed as a percentage of the amount or amounts stated in response to Item 7(a), except that, for a sales charge (load) based on net asset value at the time of purchase, show the sales charge (load) as a percentage of the offering price at the time of purchase. A Fund may include in a footnote to the table, if applicable, a tabular presentation showing the amount of deferred sales charges (loads) over time or a narrative explanation of the sales charges (loads) (e.g., __% in the first year after purchase, declining to __% in the __ year and eliminated thereafter). If more than one type of sales charge (load) is imposed (e.g., a deferred sales charge (load) and a front-end sales charge (load)), the first caption in the table should read ""Maximum Sales Charge (Load)"" and show the maximum cumulative percentage. Show the percentage amounts and the terms of each sales charge (load) comprising that figure on separate lines below."
ShareholderFeesCaption	rr/2021	0	0	string	D	Shareholder Fees Caption [Text]	Shareholder Fees (fees paid directly from your investment).
SalesLoadOfOtherAmountMaximumPercent	vip/2022q2	0	0	percent	D	Sales Load (of Other Amount), Maximum [Percent]	
AdministrativeExpenseMinimumDollars	vip/2023	0	0	nonNegativeMonetary	D	Administrative Expense, Minimum [Dollars]	
AnnualReturn2015	vip/2022q2	0	0	percent	D	Annual Return, 2015 [Percent]	
